id,age,coa,male,age_14, alcuse,peer,cpeer,ccoa
1,14,1,0,0,1.7320507764816284,1.2649110555648804,.24691105556488036,.5489999999999999
1,15,1,0,1,2,1.2649110555648804,.24691105556488036,.5489999999999999
1,16,1,0,2,2,1.2649110555648804,.24691105556488036,.5489999999999999
2,14,1,1,0,0,.8944271802902222,-.12357281970977785,.5489999999999999
2,15,1,1,1,0,.8944271802902222,-.12357281970977785,.5489999999999999
2,16,1,1,2,1,.8944271802902222,-.12357281970977785,.5489999999999999
3,14,1,1,0,1,.8944271802902222,-.12357281970977785,.5489999999999999
3,15,1,1,1,2,.8944271802902222,-.12357281970977785,.5489999999999999
3,16,1,1,2,3.316624879837036,.8944271802902222,-.12357281970977785,.5489999999999999
4,14,1,1,0,0,1.7888543605804443,.7708543605804443,.5489999999999999
4,15,1,1,1,2,1.7888543605804443,.7708543605804443,.5489999999999999
4,16,1,1,2,1.7320507764816284,1.7888543605804443,.7708543605804443,.5489999999999999
5,14,1,0,0,0,.8944271802902222,-.12357281970977785,.5489999999999999
5,15,1,0,1,0,.8944271802902222,-.12357281970977785,.5489999999999999
5,16,1,0,2,0,.8944271802902222,-.12357281970977785,.5489999999999999
6,14,1,1,0,3,1.5491933822631836,.5311933822631836,.5489999999999999
6,15,1,1,1,3,1.5491933822631836,.5311933822631836,.5489999999999999
6,16,1,1,2,3.1622776985168457,1.5491933822631836,.5311933822631836,.5489999999999999
7,14,1,0,0,1.7320507764816284,1.5491933822631836,.5311933822631836,.5489999999999999
7,15,1,0,1,2.4494898319244385,1.5491933822631836,.5311933822631836,.5489999999999999
7,16,1,0,2,1,1.5491933822631836,.5311933822631836,.5489999999999999
8,14,1,1,0,0,0,-1.018,.5489999999999999
8,15,1,1,1,0,0,-1.018,.5489999999999999
8,16,1,1,2,0,0,-1.018,.5489999999999999
9,14,1,1,0,0,0,-1.018,.5489999999999999
9,15,1,1,1,1,0,-1.018,.5489999999999999
9,16,1,1,2,3.464101552963257,0,-1.018,.5489999999999999
10,14,1,0,0,1,2,.982,.5489999999999999
10,15,1,0,1,1,2,.982,.5489999999999999
10,16,1,0,2,1,2,.982,.5489999999999999
11,14,1,1,0,0,0,-1.018,.5489999999999999
11,15,1,1,1,0,0,-1.018,.5489999999999999
11,16,1,1,2,3.1622776985168457,0,-1.018,.5489999999999999
12,14,1,1,0,1,1.2649110555648804,.24691105556488036,.5489999999999999
12,15,1,1,1,0,1.2649110555648804,.24691105556488036,.5489999999999999
12,16,1,1,2,1.7320507764816284,1.2649110555648804,.24691105556488036,.5489999999999999
13,14,1,1,0,0,0,-1.018,.5489999999999999
13,15,1,1,1,0,0,-1.018,.5489999999999999
13,16,1,1,2,2,0,-1.018,.5489999999999999
14,14,1,0,0,2.8284270763397217,2,.982,.5489999999999999
14,15,1,0,1,3.605551242828369,2,.982,.5489999999999999
14,16,1,0,2,2.8284270763397217,2,.982,.5489999999999999
15,14,1,0,0,1.7320507764816284,2,.982,.5489999999999999
15,15,1,0,1,2.2360680103302,2,.982,.5489999999999999
15,16,1,0,2,2.4494898319244385,2,.982,.5489999999999999
